codigo,region,municipioEscolar,nombreEscuela,nivel,ausentismo_cronico,ciencias_meta,espanol_meta,ingles_meta,mate_meta,asistencia_estudiantes_pct,asistencia_maestros_pct,matricula,Disabilities,econ_des,FosterCare,Female,Male,Migrants,Section504,econ_des_pct,disabilities_pct,zona,latitud,longitud
11320,Arecibo,Ciales,Superior Francisco Serrano,Primario,0.1855072463768116,0.32836,0.45918,0.26425,0.36788,0.9589688342975417,0.6438249547924151,322,78,275,0,160,162,0,5,0.8540372670807453,0.2422360248447205,RURAL,18.2958,-66.49264
11387,Arecibo,Hatillo,Luis Meléndez Rodríguez,Primario,0.1933085501858736,0.472,0.48166,0.47433,0.30318,0.9476847462429572,0.5885561037864906,517,181,421,0,241,276,0,0,0.8143133462282398,0.35009671179883944,RURAL,18.40733,-66.77566
11395,Arecibo,Hatillo,Luis Muñoz Rivera,Primario,0.3,0.77027,0.64532,0.55665,0.71078,0.9238301588901204,0.6116657253435958,335,98,294,0,175,160,0,0,0.8776119402985074,0.29253731343283584,RURAL,18.45915,-66.80866
11403,Arecibo,Hatillo,Eugenio María de Hostos,Primario,0.4906367041198501,0.56522,0.3913,0.32353,0.47101,0.8599635413234938,0.7693563205811279,259,102,239,0,125,134,0,1,0.9227799227799228,0.3938223938223938,RURAL,18.45603,-66.80989
11411,Arecibo,Hatillo,Carmen Noelia Peraza Toledo,Primario,0.1536312849162011,0.66154,0.92025,0.90184,0.74233,0.9349055954878426,0.631688532647087,321,93,286,0,149,172,0,0,0.8909657320872274,0.2897196261682243,RURAL,18.45667,-66.77591
11494,Arecibo,Hatillo,S. U. Rafael Zamot Cruz,Primario,0.2794759825327511,0.67241,0.58427,0.47458,0.3427,0.915363191007883,0.7040250040207345,218,66,188,0,104,114,0,1,0.8623853211009175,0.30275229357798167,RURAL,18.36888,-66.79268
11502,Arecibo,Hatillo,Timoteo Delgado,Primario,0.3433395872420263,0.52047,0.39806,0.38402,0.17121,0.9209086517396726,0.6187763048762975,498,164,418,0,221,277,0,4,0.8393574297188755,0.3293172690763052,RURAL,18.42818,-66.78992
11528,Arecibo,Hatillo,Lorenzo Coballes Gandía,Todos los niveles,0.2216624685138539,0.19608,0.28054,0.2,0.01351,0.93241195975303,0.6654618023295119,392,145,361,0,193,199,0,0,0.9209183673469388,0.36989795918367346,URBANA,18.48155,-66.82068
11593,Arecibo,Lares,Gabriela Mistral,Todos los niveles,0.2918918918918919,0.54762,0.39063,0.21875,0.01563,0.9216145669538964,0.7723397725461141,179,38,165,0,86,93,0,8,0.9217877094972067,0.2122905027932961,RURAL,18.17848,-66.83036
11643,Arecibo,Lares,Domingo Aponte Collazo,Secundario,0.3159645232815964,0.49345,0.45415,0.42358,0.0786,0.921596719453412,0.6301813889625373,886,227,680,0,451,435,0,8,0.7674943566591422,0.2562076749435666,URBANA,18.29666,-66.87977
11756,Arecibo,Camuy,Luis Felipe Rodríguez García,Primario,0.2875,0.71711,0.53741,0.65986,0.42404,0.9162405648892136,0.6005038047537362,543,187,449,0,280,263,0,0,0.8268876611418048,0.3443830570902394,RURAL,18.43254,-66.89158
11908,Arecibo,Lares,Julio Lebrón Soto,Primario,0.1216216216216216,0.28571,0.51402,0.18868,0.39252,0.9622319128860328,0.6678145497814121,220,42,203,0,105,115,0,0,0.9227272727272727,0.19090909090909092,RURAL,18.18159,-66.83379
11932,Arecibo,Lares,S. U. Angélica Delgado,Primario,0.1004784688995215,0.56383,0.57143,0.65845,0.39583,0.965261438813076,0.6448830298712679,401,152,348,0,172,229,0,9,0.8678304239401496,0.3790523690773067,RURAL,18.26961,-66.85241
11940,Arecibo,Lares,Josefina Linares,Todos los niveles,0.1858407079646017,0.40351,0.40136,0.19863,0.25342,0.9445636339557676,0.586278204321119,215,95,198,0,96,119,0,0,0.9209302325581395,0.4418604651162791,RURAL,18.29084,-66.83816
12005,Arecibo,Lares,George Washington,Primario,0.225130890052356,1.0,0.88043,0.77174,0.86957,0.9470746665801344,0.6367552095110559,173,67,148,0,82,91,0,2,0.8554913294797688,0.3872832369942196,RURAL,,-66.89
12062,Arecibo,Manatí,Francisco Menéndez Balbañe,Primario,0.4712643678160919,0.75,0.8,0.7,0.925,0.8822960442932426,0.6850465635069104,79,26,74,0,32,47,0,0,0.9367088607594937,0.3291139240506329,RURAL,18.413,-66.53019
12070,Arecibo,Manatí,Félix Córdova Dávila,Primario,0.2438271604938271,0.92727,0.85714,0.91667,0.91667,0.927243179880648,0.6327248423025219,312,98,272,0,156,156,0,0,0.8717948717948718,0.3141025641025641,RURAL,18.43551,-66.4838
12088,Arecibo,Manatí,Fernando Callejo,Secundario,0.3648648648648648,0.2766,0.22917,0.28421,0.0625,0.899732268258427,0.5969959408302933,383,125,316,0,192,191,0,0,0.825065274151436,0.3263707571801567,URBANA,18.42736,-66.48723
12096,Arecibo,Manatí,Jesús T Piñero,Primario,0.2510121457489878,0.13187,0.10359,0.16935,0.01205,0.9404696005166528,0.6337915417279751,239,113,211,0,122,117,0,0,0.8828451882845189,0.47280334728033474,URBANA,18.42624,-66.49088
12138,Arecibo,Manatí,Evaristo Camacho,Primario,0.3396226415094339,0.77778,0.4386,0.50877,0.89474,0.925050677477862,0.6116951995906186,105,38,91,0,47,58,0,0,0.8666666666666667,0.3619047619047619,RURAL,18.38165,-66.46826
12187,Arecibo,Manatí,Antonio Vélez Alvarado,Primario,0.2777777777777778,0.85,0.78261,0.84783,0.81522,0.939249680261475,0.5961443400138602,236,107,231,0,110,126,0,0,0.9788135593220338,0.4533898305084746,RURAL,18.435,-66.46613
