PartitionKey,RowKey,Timestamp,AcademicYear,All,Disabilities,EconomicallyDisadvantaged,Female,FosterCare,Grade,HispanicNOTPuertoRican,Homeless,Male,Migrants,MilitaryParent,NOTDisabilities,NOTEconomicallyDisadvantaged,OtherOrigin,PuertoRican,Section504,SpanishLearners,WhiteNOTHispanic
52357,9565,2020-11-18T16:21:59.0914364Z,2020,36,16,31,19,0,3ro,1,3,17,0,0,20,5,0,34,0,0,1
52357,9566,2020-11-18T16:21:59.0924359Z,2020,37,17,37,17,0,4to,0,0,20,0,0,20,0,0,37,0,0,0
52357,9567,2020-11-18T16:21:59.0924359Z,2020,28,10,26,14,0,5to,0,0,14,0,0,18,2,0,28,0,0,0
52357,9568,2020-11-18T16:21:59.0924359Z,2020,28,5,26,13,0,K,1,1,15,0,0,23,2,0,27,0,0,0
52357,9569,2020-11-18T16:21:59.0924359Z,2020,11,8,10,4,0,Sin Grado,1,1,7,0,0,3,1,0,10,0,0,0
61598,10313,2020-11-18T16:22:03.7065126Z,2020,20,4,18,13,0,1ro,0,0,7,0,0,16,2,0,19,0,0,1
61598,10314,2020-11-18T16:22:03.7065126Z,2020,19,4,15,11,0,2do,1,1,8,0,0,15,4,0,18,0,0,0
61598,10315,2020-11-18T16:22:03.7065126Z,2020,21,3,18,10,0,3ro,0,0,11,0,0,18,3,0,21,0,0,0
61598,10316,2020-11-18T16:22:03.707513Z,2020,14,3,11,3,0,4to,2,0,11,0,0,11,3,0,12,0,0,0
61598,10317,2020-11-18T16:22:03.707513Z,2020,16,7,13,10,0,5to,1,0,6,0,0,9,3,0,15,0,0,0
61598,10318,2020-11-18T16:22:03.707513Z,2020,21,7,18,14,0,K,1,0,7,0,0,14,3,0,20,0,0,0
61598,10319,2020-11-18T16:22:03.708513Z,2020,14,2,11,7,0,PK,0,0,7,0,0,12,3,0,14,0,0,0
61598,10320,2020-11-18T16:22:03.708513Z,2020,5,5,5,1,0,Sin Grado,0,0,4,0,0,0,0,0,5,0,0,0
61598,34328,2021-06-24T13:18:38.6101412Z,2021,21,8,18,14,0,1ro,1,0,7,0,0,13,3,0,20,0,0,0
61598,34329,2021-06-24T13:18:38.6101412Z,2021,19,4,16,8,0,2do,0,0,11,0,0,15,3,0,19,0,0,0
61598,34330,2021-06-24T13:18:38.6101412Z,2021,18,4,16,10,0,3ro,1,0,8,0,0,14,2,0,17,0,0,0
61598,34331,2021-06-24T13:18:38.6111425Z,2021,23,4,21,10,0,4to,0,0,13,0,0,19,2,0,22,0,0,1
61598,34332,2021-06-24T13:18:38.6111425Z,2021,14,2,10,2,0,5to,1,0,12,0,0,12,4,0,13,0,0,0
61598,34333,2021-06-24T13:18:38.6111425Z,2021,19,4,14,11,0,K,0,0,8,0,0,15,5,0,19,0,0,0
61598,34334,2021-06-24T13:18:38.6111425Z,2021,14,4,9,8,0,PK,0,0,6,0,0,10,5,0,14,0,0,0
61598,34335,2021-06-24T13:18:38.612143Z,2021,5,5,4,1,0,Sin Grado,0,0,4,0,0,0,1,0,5,0,0,0
61598,4300,2020-11-18T16:21:09.0410614Z,2019,21,3,18,13,0,1ro,1,1,8,0,0,18,3,0,20,0,0,0
61598,4301,2020-11-18T16:21:09.6844878Z,2019,21,2,15,11,0,2do,0,0,10,0,0,19,6,0,21,0,0,0
61598,4302,2020-11-18T16:21:09.6844878Z,2019,13,4,12,4,0,3ro,1,0,9,0,0,9,1,0,12,0,0,0
61598,4303,2020-11-18T16:21:09.6844878Z,2019,15,8,13,9,0,4to,0,0,6,0,0,7,2,0,15,0,0,0
61598,4304,2020-11-18T16:21:09.6854878Z,2019,22,8,19,10,0,5to,1,0,12,0,0,14,3,0,21,0,0,0
61598,4305,2020-11-18T16:21:09.6854878Z,2019,20,4,18,11,0,K,0,0,9,0,0,16,2,0,20,0,0,0
61598,4306,2020-11-18T16:21:09.6854878Z,2019,16,2,15,11,0,PK,0,0,5,0,0,14,1,0,16,0,0,0
61598,4307,2020-11-18T16:21:09.6854878Z,2019,6,6,5,2,0,Sin Grado,0,0,4,0,0,0,1,0,6,0,0,0
27714,1660,2020-11-18T16:20:48.2632052Z,2019,52,21,42,27,0,1ro,0,2,25,0,0,31,10,0,52,0,0,0
27714,1661,2020-11-18T16:20:48.2632052Z,2019,64,18,49,28,0,2do,2,0,36,0,0,46,15,0,60,0,2,2
27714,1662,2020-11-18T16:20:48.2632052Z,2019,59,24,47,32,0,3ro,1,0,27,0,0,35,12,0,58,0,0,0
27714,1663,2020-11-18T16:20:48.2632052Z,2019,59,13,47,26,0,4to,1,0,33,0,0,46,12,0,58,1,0,0
27714,1664,2020-11-18T16:20:48.2632052Z,2019,51,13,40,27,0,5to,0,0,24,0,0,38,11,0,51,1,0,0
27714,1665,2020-11-18T16:20:48.2642065Z,2019,38,11,31,18,0,K,0,0,20,0,0,27,7,0,38,0,0,0
27714,1666,2020-11-18T16:20:48.2642065Z,2019,14,2,13,7,0,PK,0,0,7,0,0,12,1,0,14,0,0,0
27714,1667,2020-11-18T16:20:48.2642065Z,2019,4,2,4,1,0,Sin Grado,0,0,3,0,0,2,0,0,4,0,1,0
27714,31662,2021-06-24T13:18:16.1190086Z,2021,37,7,36,19,0,1ro,2,0,18,0,0,30,1,0,34,0,0,1
27714,31663,2021-06-24T13:18:16.1190086Z,2021,37,11,31,17,0,2do,0,0,20,0,0,26,6,0,37,0,0,0
27714,31664,2021-06-24T13:18:16.1200087Z,2021,49,17,46,26,0,3ro,1,0,23,0,0,32,3,0,48,0,1,0
27714,31665,2021-06-24T13:18:16.1200087Z,2021,58,15,49,26,0,4to,0,0,32,0,0,43,9,0,58,0,1,0
27714,31666,2021-06-24T13:18:16.1200087Z,2021,51,19,42,32,0,5to,1,0,19,0,0,32,9,0,50,0,0,0
27714,31667,2021-06-24T13:18:16.1210092Z,2021,37,5,32,19,0,K,0,0,18,0,0,32,5,0,37,0,0,0
27714,31668,2021-06-24T13:18:16.1210092Z,2021,12,4,11,4,0,PK,0,0,8,0,0,8,1,0,12,0,0,0
27714,31669,2021-06-24T13:18:16.1210092Z,2021,1,1,1,0,0,Sin Grado,0,0,1,0,0,0,0,0,1,0,0,0
27714,7665,2020-11-18T16:21:47.1995041Z,2020,42,12,35,18,0,1ro,0,0,24,0,0,30,7,0,42,0,0,0
27714,7666,2020-11-18T16:21:47.1995041Z,2020,50,16,39,27,0,2do,1,1,23,0,0,34,11,0,48,0,1,1
27714,7667,2020-11-18T16:21:47.1995041Z,2020,61,19,50,27,0,3ro,1,2,34,0,0,42,11,0,59,0,1,1
27714,7668,2020-11-18T16:21:47.1995041Z,2020,54,20,49,35,0,4to,1,0,19,0,0,34,5,0,53,0,0,0
27714,7669,2020-11-18T16:21:47.200505Z,2020,63,14,51,29,0,5to,1,1,34,0,0,49,12,0,62,1,0,0
27714,7670,2020-11-18T16:21:47.200505Z,2020,42,9,34,18,0,K,0,0,24,0,0,33,8,0,41,0,0,1
27714,7671,2020-11-18T16:21:47.200505Z,2020,16,2,12,8,0,PK,0,1,8,0,0,14,4,0,16,0,0,0
27714,7672,2020-11-18T16:21:47.2015059Z,2020,2,0,2,1,0,Sin Grado,0,0,1,0,0,2,0,0,2,0,0,0
26336,1570,2020-11-18T16:20:47.657805Z,2019,56,15,51,22,0,10mo,0,2,34,0,0,41,5,0,56,2,0,0
26336,1571,2020-11-18T16:20:47.657805Z,2019,51,12,48,24,0,11mo,0,1,27,0,0,39,3,0,51,0,0,0
26336,1572,2020-11-18T16:20:47.657805Z,2019,37,0,30,19,0,12mo,2,0,18,0,0,37,7,0,35,0,0,0
26336,1573,2020-11-18T16:20:47.658809Z,2019,42,14,35,11,0,6to,0,0,31,0,0,28,7,1,41,1,1,0
26336,1574,2020-11-18T16:20:47.658809Z,2019,55,17,47,23,0,7mo,0,1,32,0,0,38,8,0,55,0,0,0
26336,1575,2020-11-18T16:20:47.658809Z,2019,51,15,46,34,0,8vo,1,0,17,0,0,36,5,0,50,0,1,0
26336,1576,2020-11-18T16:20:47.6598063Z,2019,45,9,38,28,0,9no,0,1,17,0,0,36,7,0,45,0,0,0
26336,1577,2020-11-18T16:20:47.6598063Z,2019,12,10,11,2,0,Sin Grado,0,1,10,0,0,2,1,0,12,0,0,0
26336,31573,2021-06-24T13:18:15.8438106Z,2021,24,8,18,15,0,10mo,0,0,9,0,0,16,6,0,24,0,0,0
26336,31574,2021-06-24T13:18:15.8448147Z,2021,31,3,25,18,0,11mo,1,0,13,0,0,28,6,0,30,0,0,0
26336,31575,2021-06-24T13:18:15.8448147Z,2021,39,11,31,18,0,12mo,0,0,21,0,0,28,8,0,39,1,0,0
26336,31576,2021-06-24T13:18:15.8448147Z,2021,51,20,45,23,0,6to,1,0,28,0,0,31,6,0,50,0,0,0
26336,31577,2021-06-24T13:18:15.8448147Z,2021,51,12,43,33,0,7mo,1,0,18,0,0,39,8,0,50,0,0,0
26336,31578,2021-06-24T13:18:15.8448147Z,2021,50,16,40,13,0,8vo,1,1,37,0,0,34,10,0,49,1,0,0
26336,31579,2021-06-24T13:18:15.8458134Z,2021,40,6,34,19,0,9no,0,0,21,0,0,34,6,0,40,0,0,0
26336,31580,2021-06-24T13:18:15.8458134Z,2021,13,12,10,3,0,Sin Grado,0,1,10,0,0,1,3,0,13,0,0,0
26336,7576,2020-11-18T16:21:46.3889649Z,2020,38,5,33,24,0,10mo,0,1,14,0,0,33,5,0,38,0,0,0
26336,7577,2020-11-18T16:21:46.3889649Z,2020,49,15,44,22,0,11mo,0,2,27,0,0,34,5,0,49,1,0,0
26336,7578,2020-11-18T16:21:46.3889649Z,2020,50,14,49,24,0,12mo,0,0,26,0,0,36,1,0,50,0,0,0
26336,7579,2020-11-18T16:21:46.3899648Z,2020,54,13,50,37,0,6to,2,3,17,0,0,41,4,1,51,0,0,0
26336,7580,2020-11-18T16:21:46.3899648Z,2020,48,16,44,14,0,7mo,1,1,34,0,0,32,4,0,47,1,0,0
26336,7581,2020-11-18T16:21:46.3899648Z,2020,60,15,54,23,0,8vo,0,3,37,0,0,45,6,1,59,0,0,0
26336,7582,2020-11-18T16:21:46.3899648Z,2020,35,10,32,17,0,9no,1,3,18,0,0,25,3,0,34,0,0,0
26336,7583,2020-11-18T16:21:46.3899648Z,2020,12,12,12,1,0,Sin Grado,0,1,11,0,0,0,0,0,12,0,0,0
78931,11742,2020-11-18T16:22:12.3172577Z,2020,160,52,116,83,0,10mo,4,0,77,0,0,108,44,0,155,0,0,1
78931,11743,2020-11-18T16:22:12.3172577Z,2020,118,37,89,56,0,11mo,2,2,62,0,0,81,29,0,116,0,0,0
78931,11744,2020-11-18T16:22:12.3182581Z,2020,105,25,68,57,0,12mo,0,0,48,0,0,80,37,0,105,0,0,0
78931,11745,2020-11-18T16:22:12.3182581Z,2020,189,66,147,100,0,9no,3,3,89,0,0,123,42,0,186,0,0,0
78931,11746,2020-11-18T16:22:12.3182581Z,2020,10,10,10,5,0,Sin Grado,0,2,5,0,0,0,0,0,10,0,0,0
78931,35764,2021-06-24T13:18:47.7977294Z,2021,181,61,147,100,0,10mo,2,3,81,0,0,120,34,0,179,1,0,0
78931,35765,2021-06-24T13:18:47.7987299Z,2021,163,58,125,87,0,11mo,3,1,76,0,0,105,38,0,159,0,1,1
78931,35766,2021-06-24T13:18:47.7987299Z,2021,108,27,76,56,0,12mo,2,1,52,0,0,81,32,0,106,0,0,0
78931,35767,2021-06-24T13:18:47.7987299Z,2021,170,53,127,91,0,9no,2,4,79,0,0,117,43,0,167,0,0,1
78931,35768,2021-06-24T13:18:47.7987299Z,2021,9,9,8,4,0,Sin Grado,0,1,5,0,0,0,1,0,9,0,0,0
78931,5736,2020-11-18T16:21:17.1514689Z,2019,122,38,84,59,0,10mo,1,0,63,0,0,84,38,0,121,0,0,0
78931,5737,2020-11-18T16:21:17.1514689Z,2019,118,33,78,60,0,11mo,0,0,58,0,0,85,40,0,118,0,0,0
78931,5738,2020-11-18T16:21:17.1514689Z,2019,103,0,63,58,0,12mo,2,0,45,0,0,103,40,1,100,0,0,0
78931,5739,2020-11-18T16:21:17.1514689Z,2019,161,57,112,82,0,9no,5,1,79,0,0,104,49,0,155,0,0,1
78931,5740,2020-11-18T16:21:17.1514689Z,2019,6,4,5,4,0,Sin Grado,0,0,2,0,0,2,1,0,6,0,0,0
71514,11331,2020-11-18T16:22:10.1658205Z,2020,99,18,89,53,0,10mo,4,9,46,0,0,81,10,0,95,1,0,0
71514,11332,2020-11-18T16:22:10.1658205Z,2020,106,38,92,49,0,11mo,3,10,57,0,0,68,14,0,103,1,0,0
71514,11333,2020-11-18T16:22:10.166821Z,2020,86,7,75,43,0,12mo,0,16,43,0,0,79,11,0,85,2,0,1
71514,11334,2020-11-18T16:22:10.166821Z,2020,106,29,96,60,0,9no,2,1,46,0,0,77,10,0,104,1,1,0
71514,35352,2021-06-24T13:18:45.5861436Z,2021,109,32,91,60,0,10mo,2,4,49,0,0,77,18,0,107,1,0,0
71514,35353,2021-06-24T13:18:45.5861436Z,2021,99,24,86,51,0,11mo,4,2,48,0,0,75,13,0,95,0,0,0
71514,35354,2021-06-24T13:18:45.5871445Z,2021,103,42,87,45,0,12mo,3,5,58,0,0,61,16,0,99,1,0,1
71514,35355,2021-06-24T13:18:45.5871445Z,2021,87,30,72,47,0,9no,1,1,40,0,0,57,15,0,85,0,0,1
71514,5326,2020-11-18T16:21:15.0740817Z,2019,105,33,91,48,0,10mo,2,1,57,0,0,72,14,0,103,1,0,0
71514,5327,2020-11-18T16:21:15.0740817Z,2019,94,8,82,50,0,11mo,0,0,44,0,0,86,12,0,93,2,0,1
71514,5328,2020-11-18T16:21:15.0740817Z,2019,121,0,97,67,0,12mo,1,1,54,0,0,121,24,0,120,0,0,0
71514,5329,2020-11-18T16:21:15.0750821Z,2019,110,20,96,57,0,9no,3,1,53,0,0,90,14,0,107,0,0,0
42473,2779,2020-11-18T16:20:58.7632047Z,2019,51,19,48,21,0,1ro,0,0,30,0,0,32,3,0,51,0,1,0
42473,2780,2020-11-18T16:20:58.7632047Z,2019,66,21,62,36,0,2do,1,0,30,0,0,45,4,0,65,0,1,0
42473,2781,2020-11-18T16:20:58.7632047Z,2019,71,26,62,39,0,3ro,0,2,32,0,0,45,9,0,71,0,0,0
42473,2782,2020-11-18T16:20:58.7632047Z,2019,75,24,67,31,1,4to,2,2,44,0,0,51,8,0,73,0,1,0
42473,2783,2020-11-18T16:20:58.7632047Z,2019,80,27,71,30,0,5to,0,0,50,0,0,53,9,0,80,0,0,0
42473,2784,2020-11-18T16:20:58.7642051Z,2019,55,20,50,28,0,K,0,0,27,0,0,35,5,0,55,0,0,0
42473,2785,2020-11-18T16:20:58.7642051Z,2019,37,35,29,8,0,Sin Grado,0,0,29,0,0,2,8,0,37,0,0,0
42473,32785,2021-06-24T13:18:27.2019613Z,2021,54,14,40,32,0,1ro,0,0,22,0,0,40,14,0,54,0,0,0
42473,32786,2021-06-24T13:18:27.2029618Z,2021,56,20,50,31,0,2do,0,0,25,0,0,36,6,1,55,0,0,0
42473,32787,2021-06-24T13:18:27.2029618Z,2021,53,18,46,23,0,3ro,0,0,30,0,0,35,7,0,53,0,0,0
42473,32788,2021-06-24T13:18:27.2029618Z,2021,65,17,54,37,0,4to,1,0,28,0,0,48,11,0,64,0,1,0
42473,32789,2021-06-24T13:18:27.2039627Z,2021,63,28,53,34,0,5to,0,0,29,0,0,35,10,0,63,0,0,0
42473,32790,2021-06-24T13:18:27.2039627Z,2021,36,14,25,15,0,K,0,0,21,0,0,22,11,0,36,0,0,0
42473,32791,2021-06-24T13:18:27.2039627Z,2021,24,24,18,5,0,Sin Grado,0,0,19,0,0,0,6,0,24,0,0,0
42473,8789,2020-11-18T16:21:53.8209208Z,2020,57,23,49,31,0,1ro,0,1,26,0,0,34,8,1,56,0,0,0
42473,8790,2020-11-18T16:21:53.8219212Z,2020,53,16,48,24,0,2do,0,0,29,0,0,37,5,0,53,0,0,0
42473,8791,2020-11-18T16:21:53.8219212Z,2020,63,16,60,35,0,3ro,2,2,28,0,0,47,3,0,61,0,1,0
42473,8792,2020-11-18T16:21:53.8219212Z,2020,73,28,67,40,0,4to,0,1,33,0,0,45,6,0,73,0,0,0
42473,8793,2020-11-18T16:21:53.8219212Z,2020,78,23,69,34,0,5to,2,0,44,0,0,55,9,0,76,0,1,0
42473,8794,2020-11-18T16:21:53.8229217Z,2020,50,10,44,29,0,K,0,0,21,0,0,40,6,0,50,0,0,0
42473,8795,2020-11-18T16:21:53.8229217Z,2020,33,33,27,7,0,Sin Grado,0,0,26,0,0,0,6,0,33,0,0,0
58594,10102,2020-11-18T16:22:02.6958387Z,2020,23,4,20,11,0,1ro,2,0,12,0,0,19,3,0,21,0,0,0
58594,10103,2020-11-18T16:22:02.6968373Z,2020,19,6,11,7,0,2do,0,0,12,0,0,13,8,0,19,0,0,0
58594,10104,2020-11-18T16:22:02.6968373Z,2020,23,8,17,14,0,3ro,0,0,9,0,0,15,6,0,23,0,0,0
58594,10105,2020-11-18T16:22:02.6968373Z,2020,25,8,21,12,0,4to,1,0,13,0,0,17,4,0,24,1,0,0
58594,10106,2020-11-18T16:22:02.6968373Z,2020,26,12,17,10,0,5to,0,0,16,0,0,14,9,0,26,0,0,0
58594,10107,2020-11-18T16:22:02.6978382Z,2020,88,20,61,48,0,6to,2,0,40,0,0,68,27,0,86,0,0,0
58594,10108,2020-11-18T16:22:02.6978382Z,2020,68,15,50,27,0,7mo,0,0,41,0,0,53,18,0,68,0,0,0
